what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1420764205821
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1420764205822
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1420764205823
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1420764205825
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1420764205826
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1420764205896
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1420764205897
os,sysinfo,,,"win32",1420764205903
arch,sysinfo,,,"x86_64",1420764205903
ws,sysinfo,,,"win32",1420764205903
locale,sysinfo,,,"en_US",1420764205903
processors,sysinfo,,,"4",1420764205903
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420764205903
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1420764205903
java.specification.name,sysinfo,,,"Java Platform API Specification",1420764205903
java.specification.vendor,sysinfo,,,"Oracle Corporation",1420764205903
java.specification.version,sysinfo,,,"1.7",1420764205903
java.vendor,sysinfo,,,"Oracle Corporation",1420764205903
java.version,sysinfo,,,"1.7.0_09",1420764205903
java.vm.info,sysinfo,,,"mixed mode",1420764205903
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1420764205903
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420764205903
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1420764205903
java.vm.specification.version,sysinfo,,,"1.7",1420764205903
java.vm.vendor,sysinfo,,,"Oracle Corporation",1420764205903
java.vm.version,sysinfo,,,"23.5-b02",1420764205903
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1420764207360
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1420764208803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764214997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764222822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1420764235189
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1420764247563
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1420764247891
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1420764247967
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1420764248209
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1420764248384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764248517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764275671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764276866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764281349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764284121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764285706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420764292818
